date,probe,circularity,% circular,min diameter,% small size,truncated,% truncated,all thresholds
2022/06/22 11,hvps,0,100.0,0,100.0,1,50.0,0
2022/07/16 16,hvps,2,0.0,1,50.0,2,0.0,2
2022/07/19 15,hvps,12152,36.5298234618197,530,97.23179776454613,14635,23.561057139872556,8997
2022/07/20 16,hvps,2984,59.76267529665588,226,96.95253505933118,5315,28.330636461704422,1962
2022/07/22 15,hvps,92,55.980861244019145,56,73.20574162679426,184,11.961722488038278,77
2022/07/23 15,hvps,14774,28.70035229959944,591,97.14782105110757,16468,20.525071183823172,11509
2022/07/24 15,hvps,87626,21.558692674717346,1153,98.96785397774575,92657,17.055026900249757,72797
2022/07/25 15,hvps,5278,22.245138479670008,256,96.22863877430761,4979,26.649970536240424,3900
2022/07/26 15,hvps,172,51.27478753541076,61,82.71954674220963,264,25.21246458923513,120
2022/07/27 15,hvps,386,69.12,141,88.72,1078,13.76,310
2022/07/29 15,hvps,240,48.93617021276596,145,69.14893617021278,332,29.361702127659573,160
2022/07/30 15,hvps,669,84.12434741338396,246,94.16231608922638,3715,11.841480778357855,549
2022/07/31 15,hvps,1557,71.08635097493035,505,90.62209842154132,4783,11.179201485608171,1343
2022/07/31 19,hvps,34107,15.316813983513756,2236,94.44830668388123,30071,25.337670076472342,25599
2022/08/01 15,hvps,658,72.59475218658892,224,90.67055393586006,2132,11.2036651395252,552
2022/08/02 15,hvps,23,14.814814814814813,16,40.74074074074074,22,18.51851851851852,18
2022/08/02 18,hvps,1205,80.61766125140744,341,94.51503940807463,5400,13.14138652082998,996
2022/08/03 15,hvps,310,11.68091168091168,40,88.6039886039886,305,13.105413105413104,272
2022/08/04 16,hvps,10,41.17647058823529,6,64.70588235294117,15,11.76470588235294,9
2022/08/06 15,hvps,0,,0,,0,,0
2022/08/06 17,hvps,535,85.79771701619325,84,97.77010883992567,3290,12.662596230422087,408
2022/08/07 16,hvps,1474,58.884239888423984,75,97.90794979079497,2989,16.624825662482568,1145
2022/08/07 18,hvps,163,64.56521739130436,83,81.95652173913044,392,14.782608695652174,126
2022/08/08 16,hvps,228,60.689655172413794,57,90.17241379310344,448,22.758620689655174,139
